id,console-name,product-name,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,gamestop-price,genre,upc
16491,3DO,20th Century Video Almanac,"",$3.09,$7.20,$23.99,"",Action & Adventure,none
16492,3DO,3D Atlas,$0.84,$4.19,$3.20,$15.99,"",Action & Adventure,none
16493,3DO,3DO Buffet,$0.84,$4.19,$3.20,$15.99,"",Action & Adventure,040421291946
16662,3DO,3DO Console,$40.40,$100.99,$48.80,$121.99,"",Systems,000000531740
16494,3DO,3DO Interactive Sampler CD 1,$0.92,$4.59,$2.00,$9.99,"",Action & Adventure,none
16495,3DO,3DO Interactive Sampler CD 2,$0.80,$3.99,$0.80,$3.99,"",Action & Adventure,none
16496,3DO,Alone in the Dark,$1.94,$9.69,$3.00,$14.99,"",Action & Adventure,none
16497,3DO,Alone in the Dark 2,$2.80,$13.99,$7.80,$25.99,"",Action & Adventure,040421291069
16498,3DO,Animals!,"",$3.09,$1.60,$7.89,"",Action & Adventure,none
16502,3DO,BC Racers,$2.60,$12.99,$14.80,$36.99,"",Action & Adventure,none
16499,3DO,Ballz: The Directors Cut,$3.20,$15.99,$3.40,$16.99,"",Action & Adventure,none
16500,3DO,Battle Chess,$1.16,$5.79,$2.60,$12.99,"",Action & Adventure,466666001995
16501,3DO,BattleSport,$1.68,$8.39,$1.80,$8.99,"",Action & Adventure,790561023814
16503,3DO,Belzerion,"",$1.99,"",$1.99,"",Action & Adventure,none
16504,3DO,BladeForce,$2.40,$11.99,$2.60,$12.99,"",Action & Adventure,790561015956
16505,3DO,Blonde Justice,$8.70,$28.99,$29.20,$72.99,"",Action & Adventure,none
16506,3DO,Brain Dead 13,$3.80,$18.99,$16.00,$39.99,"",Action & Adventure,092667650285
16507,3DO,Burning Soldier,$1.06,$5.29,$1.90,$9.39,"",Action & Adventure,037988830091
16508,3DO,Bust-A-Move,$2.60,$12.99,$6.60,$21.99,"",Action & Adventure,037988830367
16509,3DO,C.P.U. Bach,$1.68,$8.39,$2.60,$12.99,"",Action & Adventure,019703381163
16510,3DO,Cannon Fodder,$9.30,$30.99,$25.20,$62.99,"",Action & Adventure,052145930117
16511,3DO,Captain Quazar,$6.60,$21.99,$7.80,$25.99,"",Action & Adventure,790561023791
16512,3DO,Carrier: Fortress at Sea,$6.90,$22.99,$7.50,$24.99,"",Action & Adventure,none
16513,3DO,Casper,$22.00,$54.99,$27.20,$67.99,"",Action & Adventure,none
16514,3DO,Club 3DO: Station Invasion,$0.82,$4.09,$6.30,$20.99,"",Action & Adventure,none
16515,3DO,Corpse Killer,$3.60,$17.99,$6.30,$20.99,"",Action & Adventure,none
16516,3DO,Coven,$18.80,$46.99,$48.40,$120.99,"",Action & Adventure,none
16517,3DO,Cowboy Casino,$2.80,$13.99,$3.00,$14.99,"",Action & Adventure,769139841198
16518,3DO,Crash 'N Burn,$2.00,$9.99,$2.80,$13.99,"",Action & Adventure,045496691295
16519,3DO,Creature Shock,$2.20,$10.99,$10.50,$34.99,"",Action & Adventure,052145930063
16520,3DO,Crime Patrol,$8.10,$26.99,$9.00,$29.99,"",Action & Adventure,767861000173
16521,3DO,Cyberdillo,$1.94,$9.69,$3.20,$15.99,"",Action & Adventure,037988830305
16522,3DO,Cyberia,$2.40,$11.99,$2.60,$12.99,"",Action & Adventure,040421290840
16523,3DO,D,$6.30,$20.99,$6.60,$21.99,"",Action & Adventure,none
16524,3DO,Daedalus Encounter,$4.00,$19.99,$6.60,$21.99,"",Action & Adventure,037988830220
16525,3DO,DeathKeep,$2.80,$13.99,$14.80,$36.99,"",Action & Adventure,016685032328
16526,3DO,Defcon 5,$2.60,$12.99,$2.80,$13.99,"",Action & Adventure,none
16527,3DO,Demolition Man,$2.00,$9.99,$3.20,$15.99,"",Action & Adventure,052145930032
16528,3DO,Dennis Miller: That's News to Me,$1.04,$5.19,$20.80,$51.99,"",Action & Adventure,751347471106
16529,3DO,Digital Dreamware,"","","","","",Action & Adventure,none
16530,3DO,DinoPark Tycoon,$1.68,$8.39,$1.80,$8.99,"",Action & Adventure,none
16531,3DO,Doctor Hauzer,$3.80,$18.99,$126.00,$314.99,"",Action & Adventure,none
